building_number	name_vivo	visible_flag
1	UH (University Hall) #1	1
2	HH (Hamilton Hall) #2	1	1
8	Alumni Memorial Hall #8	1	1
9	NRB (Nuclear Research Building) #9	1	1
10	MML (Mills Memorial Library) #10	1	1
11	BSB (Burke Science Building) #11	1	1
10b	MMA (McMaster Museum of Art) #10b	1	1
15	REAC (Nuclear Reactor) #15	1	1
16	JHE (John Hodgins Engineering Building) #16	1	1
20	GH (Gilmour Hall) #20	1	1
22	GSB (General Science Building) #22	1	1
23	CNH (Chester New Hall) #23	1	1
24	IWC (Ivor Wynne Centre) #24	1	1
25	ABB (A.N. Bourns Science Building) #25	1	1
26	ETB (Engineering Technology Building) #26	1	1
28	C (Commons Building) #28	1
29	TSH (Togo Salmon Hall) #29	1
31	CSB (Campus Services Building) #31	1
33	ADL (Applied Dynamics Laboratory) #33	1
34	PC (Psychology Building) #34	1
37	HSC (Health Sciences Centre) #37	1
38	KTH (Kenneth Taylor Hall) #38	1
39	LS (Life Sciences Building) #39	1
43	CRL (Communications Research Laboratory) #43	1
46	DSB (DeGroote School of Business) #46	1
48	IAHS (Institute for Applied Health Sciences Building) #48	1
49	ITB (Information Technology Building) #49	1
51	MUSC (McMaster University Student Centre) #51	1
52	MDCL (Michael G. DeGroote Centre for Learning and Discovery) #52	1
56	ETB (Engineering Technology Building) #56 	1
83	DBHSC (David Braley Health Sciences Centre) #83	1
156	St. Joseph's Hospital Marion Wing #156	1
159	Chedoke Hospital Central Building #159	1
341	Chedoke Hosp Evel Pavilion	1
349	Charlton Medical Centre	1
356	St. Joseph's Healthcare	1
358	Juravinski Cancer Centre	1
370	St. Peter's Health Centre	1
383	St Joe's Fontbonne	0
385	St Joe's Martha Wing	0
418	St. Joseph's Centre for Ambulatory Health Service	1
424	Chedoke Patterson Building	1
426	IBM	0
428	HCH Research Centre G Wing	0
438	St. Joseph's Centre for Mountain Health Services	1
441	Stonechurch Family Health Centre	1
464	Hamilton General Hospital 2 East	1
466	St. Joseph's Healthcare	1
467	Hamilton General Hospital	1
468	St. Joseph's Healthcare	1
471	David Braley Cvsri	0
478	St Joes Juravinsk Twr	0
480	Michael G. DeGroote School of Medicine, Niagara	1
481	McMaster Innovation Park	1
489	Michael G. DeGroote School of Medicine, Kitchener-Waterloo	1
496	Juravinski Hospital and Cancer Centre	1
498	Ron Joyce Centre	1
499	Automotive Resource Centre	1
T27	DC (Downtown Centre) #T27	1
